FECHA,HORA,PARAM,ATM,OBL,PIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2016-01-02,18:00,O3,0.02003,0.0231,0.02217,0.0109,0.01238,0.0257,0.01333,0.02122,0.01643,0.01573
2016-01-02,18:00,PM10,31.21,28.23,,55.17,21.85,21.63,26.61,21.04,32.49,
2016-01-02,18:00,CO,0.74,0.605,0.502,1.308,0.87,0.222,0.917,0.439,0.78,0.614
2016-01-02,18:00,NO2,0.01983,0.0133,0.0092,0.01837,0.02163,0.0086,0.0166,0.01508,0.02217,0.01535
2016-01-02,18:00,SO2,0.00133,0.0042,,0.00133,0.00215,,0.00238,0.00158,0.00252,0.0011
2016-01-02,19:00,O3,0.0114,0.01707,0.00968,0.00683,0.00665,0.0205,0.00875,0.01415,0.00513,0.00705
2016-01-02,19:00,PM10,34.89,27.88,,67.96,22.33,17.1,23.35,23.16,34.24,
2016-01-02,19:00,CO,0.906,0.57,0.665,2.159,1.121,0.201,0.962,0.554,1.13,0.955
2016-01-02,19:00,NO2,0.02653,0.0131,0.0185,0.01965,0.02788,0.00978,0.01793,0.0186,0.0313,0.02608
2016-01-02,19:00,SO2,0.00134,0.00369,,0.0022,0.00221,,0.00238,0.00145,0.00351,0.00139
2016-01-02,20:00,O3,0.01,0.01232,0.00643,0.0038,0.00388,0.01552,0.00812,0.01425,0.00492,0.00362
2016-01-02,20:00,PM10,27.28,21.24,,90.83,16.74,14.45,22.8,16.66,33.43,
2016-01-02,20:00,CO,0.834,0.653,0.722,1.799,1.507,0.193,0.632,0.475,1.002,1.345
2016-01-02,20:00,NO2,0.02742,0.01683,0.02042,0.02183,0.03123,0.0152,0.01818,0.01727,0.02913,0.02987
2016-01-02,20:00,SO2,0.00137,0.0038,,0.00195,0.00239,,0.00234,0.00133,0.00315,0.00113
2016-01-02,21:00,O3,0.00568,0.00947,0.00395,0.0033,0.00302,0.01855,0.00683,0.00658,0.00308,0.00345
2016-01-02,21:00,PM10,22.32,17.72,,164.29,20.97,10.15,19.56,12.78,22.41,
2016-01-02,21:00,CO,1.197,0.74,0.749,2.11,1.494,0.191,0.608,0.593,1.158,1.392
2016-01-02,21:00,NO2,0.03115,0.01905,0.02175,0.02268,0.0325,0.00957,0.01833,0.02352,0.0316,0.02875
2016-01-02,21:00,SO2,0.00169,0.00446,,0.00249,0.00275,,0.00236,0.00136,0.00254,0.00142
